skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00145,S010>S005,3,3.963477904678413,C
SK-00146,S010>S006,3,3.963477904678413,C
SK-00147,S010>S007,3,3.963477904678413,C
SK-00148,S010>S008,3,3.635742969819845,C
SK-00149,S010>S009,3,2.38354601331298,C
SK-00150,S010>S011,3,3.963477904678413,C
SK-00151,S010>S012,3,0.0665317100486219,C
SK-00152,S010>S013,3,3.963477904678413,C
SK-00153,S010>S014,3,2.762608774318465,C
SK-00154,S010>S015,3,1.935778272530612,C
SK-00155,S011>S001,3,inf,C
SK-00156,S011>S002,3,1.322380853485683e-06,C
SK-00157,S011>S003,3,0.2164311732641832,C
SK-00158,S011>S004,3,5.230177638468788,C
SK-00159,S011>S005,3,8.522413817803681,C
SK-00160,S011>S006,3,inf,C
SK-00161,S011>S007,3,9.881076683362563,C
SK-00162,S011>S008,3,4.831365205739842,C
SK-00163,S011>S009,3,2.38354601331298,C
SK-00164,S011>S010,3,3.963477904678413,C
SK-00165,S011>S012,3,0.0665317100486219,C
SK-00166,S011>S013,3,8.648607052352475,C
SK-00167,S011>S014,3,2.762608774318465,C
SK-00168,S011>S015,3,1.935778272530612,C
SK-00169,S012>S001,3,0.0665317100486219,C
SK-00170,S012>S002,3,1.322380853485683e-06,C
SK-00171,S012>S003,3,0.0665317100486219,C
SK-00172,S012>S004,3,0.0665317100486219,C
SK-00173,S012>S005,3,0.0665317100486219,C
SK-00174,S012>S006,3,0.0665317100486219,C
SK-00175,S012>S007,3,0.0665317100486219,C
SK-00176,S012>S008,3,0.0665317100486219,C
SK-00177,S012>S009,3,0.0665317100486219,C
SK-00178,S012>S010,3,0.0665317100486219,C
SK-00179,S012>S011,3,0.0665317100486219,C
SK-00180,S012>S013,3,0.0665317100486219,C
SK-00181,S012>S014,3,0.0665317100486219,C
SK-00182,S012>S015,3,0.0665317100486219,C
SK-00183,S013>S001,3,9.29830404357554,C
SK-00184,S013>S002,3,1.322380853485683e-06,C
SK-00185,S013>S003,3,0.2164311732641832,C
SK-00186,S013>S004,3,5.230177638468788,C
SK-00187,S013>S005,3,8.522413817803681,C
SK-00188,S013>S006,3,5.196647073208851,C
SK-00189,S013>S007,3,4.902788506246296,C
SK-00190,S013>S008,3,4.831365205739842,C
SK-00191,S013>S009,3,2.38354601331298,C
SK-00192,S013>S010,3,3.963477904678413,C
SK-00193,S013>S011,3,8.648607052352475,C
SK-00194,S013>S012,3,0.0665317100486219,C
SK-00195,S013>S014,3,2.762608774318465,C
SK-00196,S013>S015,3,1.935778272530612,C
SK-00197,S014>S001,3,2.762608774318465,C
SK-00198,S014>S002,3,1.322380853485683e-06,C
SK-00199,S014>S003,3,0.2164311732641832,C
SK-00200,S014>S004,3,2.762608774318465,C
SK-00201,S014>S005,3,2.762608774318465,C
SK-00202,S014>S006,3,2.762608774318465,C
SK-00203,S014>S007,3,2.762608774318465,C
SK-00204,S014>S008,3,2.18784292202227,C
SK-00205,S014>S009,3,2.38354601331298,C
SK-00206,S014>S010,3,2.762608774318465,C
SK-00207,S014>S011,3,2.762608774318465,C
SK-00208,S014>S012,3,0.0665317100486219,C
SK-00209,S014>S013,3,2.762608774318465,C
SK-00210,S014>S015,3,1.935778272530612,C
SK-00211,S015>S001,3,1.935778272530612,C
SK-00212,S015>S002,3,1.322380853485683e-06,C
SK-00213,S015>S003,3,0.2164311732641832,C
SK-00214,S015>S005,3,1.935778272530612,C
SK-00215,S015>S006,3,1.935778272530612,C
SK-00216,S015>S007,3,1.935778272530612,C
SK-00217,S015>S008,3,1.935778272530612,C
SK-00218,S015>S009,3,1.935778272530612,C
SK-00219,S015>S010,3,1.935778272530612,C
SK-00220,S015>S011,3,1.935778272530612,C
SK-00221,S015>S012,3,0.0665317100486219,C
SK-00222,S015>S013,3,1.935778272530612,C
SK-00223,S015>S014,3,1.935778272530612,C
SK-00224,S001>S002>S003,4,1.322380853485683e-06,C
SK-00225,S001>S002>S004,4,1.322380853485683e-06,C
SK-00226,S001>S002>S005,4,1.322380853485683e-06,C
SK-00227,S001>S002>S006,4,1.322380853485683e-06,C
SK-00228,S001>S002>S007,4,1.322380853485683e-06,C
SK-00229,S001>S002>S008,4,1.322380853485683e-06,C
SK-00230,S001>S002>S009,4,1.322380853485683e-06,C
SK-00231,S001>S002>S010,4,1.322380853485683e-06,C
SK-00232,S001>S002>S011,4,1.322380853485683e-06,C
SK-00233,S001>S002>S012,4,1.322380853485683e-06,C
SK-00234,S001>S002>S013,4,1.322380853485683e-06,C
SK-00235,S001>S002>S014,4,1.322380853485683e-06,C
