interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
90,124.98716346384981,125.69020535334317,cruise,"[11180100.32840468, 2559345.939198084, 273.0566101074219]","[11180104.69026918, 2559355.540469626, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
91,125.69020535334317,126.82105671693827,cruise,"[11180104.69026918, 2559355.540469626, 273.0566101074219]","[11180111.706380868, 2559370.9842307693, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
92,126.82105671693827,127.95190808053337,cruise,"[11180111.706380868, 2559370.9842307693, 273.0566101074219]","[11180118.722492553, 2559386.427991913, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
93,127.95190808053337,128.40920325110645,cruise,"[11180118.722492553, 2559386.427991913, 273.0566101074219]","[11180121.559677081, 2559392.6731604766, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
94,128.40920325110645,128.86649842167952,cruise,"[11180121.559677081, 2559392.6731604766, 273.0566101074219]","[11180124.39686161, 2559398.9183290405, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
95,128.86649842167952,129.54005461473048,cruise,"[11180124.39686161, 2559398.9183290405, 273.0566101074219]","[11180128.57578877, 2559408.1169216204, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
96,129.54005461473048,130.21361080778144,cruise,"[11180128.57578877, 2559408.1169216204, 273.0566101074219]","[11180132.75471593, 2559417.3155142004, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
97,130.21361080778144,131.34446217137653,cruise,"[11180132.75471593, 2559417.3155142004, 273.0566101074219]","[11180139.77082762, 2559432.7592753437, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
98,131.34446217137653,132.47531353497163,cruise,"[11180139.77082762, 2559432.7592753437, 273.0566101074219]","[11180146.786939308, 2559448.203036487, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
99,132.47531353497163,132.96209440222154,cruise,"[11180146.786939308, 2559448.203036487, 273.0566101074219]","[11180149.807061175, 2559454.850884016, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
100,132.96209440222154,133.44887526947142,cruise,"[11180149.807061175, 2559454.850884016, 273.0566101074219]","[11180152.827183044, 2559461.498731545, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
101,133.44887526947142,134.09294576581664,cruise,"[11180152.827183044, 2559461.498731545, 273.0566101074219]","[11180156.823172864, 2559470.29464516, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
102,134.09294576581664,134.73701626216186,cruise,"[11180156.823172864, 2559470.29464516, 273.0566101074219]","[11180160.819162684, 2559479.0905587743, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
103,134.73701626216186,135.86786762578586,cruise,"[11180160.819162684, 2559479.0905587743, 273.0566101074219]","[11180167.83527437, 2559494.5343199177, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
104,135.86786762578586,136.9987189894099,cruise,"[11180167.83527437, 2559494.5343199177, 273.0566101074219]","[11180174.85138606, 2559509.9780810615, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
105,136.9987189894099,137.51498555310218,cruise,"[11180174.85138606, 2559509.9780810615, 273.0566101074219]","[11180178.054445267, 2559517.0286075524, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
106,137.51498555310218,138.03125211679446,cruise,"[11180178.054445267, 2559517.0286075524, 273.0566101074219]","[11180181.257504473, 2559524.079134043, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
107,138.03125211679446,138.64583691669728,cruise,"[11180181.257504473, 2559524.079134043, 273.0566101074219]","[11180185.070556955, 2559532.472368696, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
108,138.64583691669728,139.2604217166001,cruise,"[11180185.070556955, 2559532.472368696, 273.0566101074219]","[11180188.883609435, 2559540.8656033487, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
109,139.2604217166001,140.39127308020966,cruise,"[11180188.883609435, 2559540.8656033487, 273.0566101074219]","[11180195.899721123, 2559556.309364492, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
110,140.39127308020966,141.52212444381922,cruise,"[11180195.899721123, 2559556.309364492, 273.0566101074219]","[11180202.915832812, 2559571.753125636, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
111,141.52212444381922,142.06787670396835,cruise,"[11180202.915832812, 2559571.753125636, 273.0566101074219]","[11180206.301829357, 2559579.206331088, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
112,142.06787670396835,142.6136289641175,cruise,"[11180206.301829357, 2559579.206331088, 273.0566101074219]","[11180209.687825903, 2559586.659536541, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
