interval_id,t_start,t_end,phase,dem_cells,distance_max_method,distance_max_km,fspl_upper_bound,obstacle_loss_db,path_loss_upper_bound,threshold,margin_lower_bound,los_clearance_lower_bound,los_state_known,continuous_certified
273,262.3733146928695,306.9016197465804,descent,3,endpoints,3.066023779648812,109.78573521139775,10.0,119.78573521139775,122.0,2.21426478860225,-52.496814839404095,True,True
274,306.9016197465804,738.9016197465804,handoff,3,endpoints,3.0636751178403956,109.77907902204669,10.0,119.77907902204669,122.0,2.2209209779533126,-52.496814839404095,True,True
275,738.9016197465804,774.5242637895492,return_climb,3,endpoints,3.0660237796488117,109.78573521139775,10.0,119.78573521139775,122.0,2.21426478860225,-52.496814839404095,True,True
276,774.5242637895492,774.8332076366158,return_cruise,3,endpoints,3.066023779648812,109.78573521139775,10.0,119.78573521139775,122.0,2.21426478860225,-27.308892423866922,True,True
277,774.8332076366158,775.1421514836824,return_cruise,3,endpoints,3.0613935027541337,109.77260795731907,10.0,119.77260795731907,122.0,2.2273920426809326,-27.262904561892924,True,True
278,775.1421514836824,775.3236804900367,return_cruise,3,endpoints,3.0567632376214133,109.75946086700321,10.0,119.75946086700321,122.0,2.240539132996787,-27.216777144167736,True,True
279,775.3236804900367,775.505209496391,return_cruise,3,endpoints,3.0540425952287276,109.75172663300026,10.0,119.75172663300026,122.0,2.24827336699974,-27.189608282219183,True,True
280,775.505209496391,776.6360608599861,return_cruise,3,endpoints,3.051321956926584,109.74398551765825,10.0,119.74398551765825,122.0,2.2560144823417545,-27.162390889460056,True,True
281,776.6360608599861,777.7669122235811,return_cruise,3,endpoints,3.0343735873374507,109.6956058222507,10.0,119.6956058222507,122.0,2.3043941777493018,-26.99173675169837,True,True
282,777.7669122235811,778.7457202772932,return_cruise,3,endpoints,3.0174253795915127,109.64695561172522,10.0,119.64695561172522,122.0,2.353044388274782,-26.819162256073923,True,True
283,778.7457202772932,779.7245283310053,return_cruise,3,endpoints,3.002755996312991,109.60462569226269,10.0,119.60462569226269,122.0,2.3953743077373133,-26.66821490832922,True,True
