service_area,candidate_rank,x,y,altitude,access_margin,backhaul_margin,joint_margin,relay_energy_ok,valid,source,candidate_count_total
S004,7,109.23539375857142,23.061003652857142,470.49169921875,0.2985546168863493,0.5812082086976034,0.2985546168863493,True,True,local_refine,2919
S004,8,109.23439375857143,23.061003652857142,364.6448669433594,0.2949847350310506,0.5991531361230784,0.2949847350310506,True,True,local_refine,2919
S004,9,109.23539375857142,23.061003652857142,495.49169921875,0.293543501908772,0.5790917266292865,0.293543501908772,True,True,local_refine,2919
S004,10,109.23539375857142,23.061003652857142,520.49169921875,0.2870628062609768,0.576818584630189,0.2870628062609768,True,True,local_refine,2919
S004,11,109.23439375857143,23.061003652857142,389.6448669433594,0.28619512554628557,0.5976986896777134,0.28619512554628557,True,True,local_refine,2919
S004,12,109.23539375857142,23.061003652857142,545.49169921875,0.27911910740796486,0.5743890291173557,0.27911910740796486,True,True,local_refine,2919
S004,13,109.23439375857143,23.061003652857142,414.6448669433594,0.27595168359208344,0.5960863381182406,0.27595168359208344,True,True,local_refine,2919
S004,14,109.23639375857142,23.061003652857142,387.35302734375,0.27205014926062177,0.5737801068991928,0.27205014926062177,True,True,coarse,2919
S004,15,109.23639375857142,23.061003652857142,387.35302734375,0.27205014926062177,0.5737801068991928,0.27205014926062177,True,True,local_refine,2919
S004,16,109.23639375857142,23.061003652857142,412.35302734375,0.2719552542850039,0.5721910496600771,0.2719552542850039,True,True,local_refine,2919
S004,17,109.23639375857142,23.061003652857142,362.35302734375,0.27067524774027163,0.575212113227721,0.27067524774027163,True,True,local_refine,2919
S004,18,109.23639375857142,23.061003652857142,437.35302734375,0.2703906591408298,0.5704451140172608,0.2703906591408298,True,True,coarse,2919
S004,19,109.23639375857142,23.061003652857142,437.35302734375,0.2703906591408298,0.5704451140172608,0.2703906591408298,True,True,local_refine,2919
S004,20,109.23639375857142,23.061003652857142,462.35302734375,0.26735795133308216,0.5685424893383981,0.26735795133308216,True,True,local_refine,2919
S004,21,109.23439375857143,23.061003652857142,439.6448669433594,0.2642647151218114,0.5943162574361338,0.2642647151218114,True,True,local_refine,2919
S004,22,109.23639375857142,23.061003652857142,487.35302734375,0.26286020418021394,0.5664833817837405,0.26286020418021394,True,True,coarse,2919
S004,23,109.23639375857142,23.061003652857142,487.35302734375,0.26286020418021394,0.5664833817837405,0.26286020418021394,True,True,local_refine,2919
S004,24,109.23539375857142,23.061003652857142,570.49169921875,0.25985351137127566,0.5718033231308652,0.25985351137127566,True,True,local_refine,2919
S004,25,109.23639375857142,23.061003652857142,512.35302734375,0.2569019664494334,0.5642680142318568,0.2569019664494334,True,True,local_refine,2919
S004,26,109.23439375857143,23.061003652857142,464.6448669433594,0.25114590926506253,0.5923886406637706,0.25114590926506253,True,True,local_refine,2919
S004,27,109.23639375857142,23.061003652857142,537.35302734375,0.24948924706505693,0.5618966261996547,0.24948924706505693,True,True,coarse,2919
S004,28,109.23639375857142,23.061003652857142,537.35302734375,0.24948924706505693,0.5618966261996547,0.24948924706505693,True,True,local_refine,2919
S004,29,109.23639375857142,23.061003652857142,562.35302734375,0.24062949499703734,0.5593694737564334,0.24062949499703734,True,True,local_refine,2919
S004,30,109.23539375857142,23.061003652857142,595.49169921875,0.23910555318104798,0.5690617462394982,0.23910555318104798,True,True,local_refine,2919
S004,31,109.23439375857143,23.061003652857142,489.6448669433594,0.23660829994692278,0.5903036978044867,0.23660829994692278,True,True,local_refine,2919
S004,32,109.23639375857142,23.061003652857142,587.35302734375,0.23033157447083852,0.5566868294321949,0.23033157447083852,True,True,coarse,2919
S004,33,109.23639375857142,23.061003652857142,587.35302734375,0.23033157447083852,0.5566868294321949,0.23033157447083852,True,True,local_refine,2919
S004,34,109.23439375857143,23.061003652857142,514.6448669433594,0.2206662235445691,0.5880616557566043,0.2206662235445691,True,True,local_refine,2919
S004,35,109.23639375857142,23.061003652857142,612.35302734375,0.21860573567035146,0.5538489821203711,0.21860573567035146,True,True,local_refine,2919
S004,36,109.23539375857142,23.061003652857142,620.49169921875,0.2170045017143849,0.5661645944406075,0.2170045017143849,True,True,local_refine,2919
S004,37,109.23739375857143,23.061003652857142,391.0208740234375,0.21543689300449387,0.5576292341399522,0.21543689300449387,True,True,local_refine,2919
S004,38,109.23739375857143,23.061003652857142,416.0208740234375,0.21513035838533767,0.5560230497930405,0.21513035838533767,True,True,local_refine,2919
S004,39,109.23739375857143,23.061003652857142,366.0208740234375,0.21429261230736074,0.5590789646810492,0.21429261230736074,True,True,local_refine,2919
S004,40,109.23739375857143,23.061003652857142,441.0208740234375,0.21337331557286632,0.5542605853479898,0.21337331557286632,True,True,local_refine,2919
S004,41,109.23739375857143,23.061003652857142,466.0208740234375,0.21016752400694827,0.5523420312415936,0.21016752400694827,True,True,local_refine,2919
S004,42,109.23739375857143,23.061003652857142,491.0208740234375,0.2055161895774944,0.5502675945713946,0.2055161895774944,True,True,local_refine,2919
S004,43,109.23639375857142,23.061003652857142,637.35302734375,0.2054635811354899,0.5508562369748233,0.2054635811354899,True,True,coarse,2919
