route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S005->S008->O01,S005->S008,"[""S005-MED-01"", ""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.0749263314321675,0.0,6.0749263314321675,2218.538961939056
O01->S008->S007->O01,S008->S007,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.080155192048148,0.0,6.080155192048148,2385.372061507435
O01->S009->S008->O01,S009->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.1178799627338805,0.0,6.1178799627338805,2072.262638486273
O01->S008->S009->O01,S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.118780209143076,0.0,6.118780209143076,2138.211658167081
O01->S008->S006->O01,S008->S006,"[""S008-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.133738554227241,0.0,6.133738554227241,2192.3391973544276
O01->S008->S007->O01,S008->S007,"[""S007-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.135609900773491,0.0,6.135609900773491,2451.372061507435
O01->S006->S008->O01,S006->S008,"[""S008-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.140317792846963,0.0,6.140317792846963,2192.330802462466
O01->S009->S008->O01,S009->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.148781150395686,0.0,6.148781150395686,2138.262638486273
O01->S007->S008->O01,S007->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.149474572073217,0.0,6.149474572073217,2385.4091158607566
O01->S009->S008->O01,S009->S008,"[""S008-MED-01"", ""S009-FOD-01"", ""S009-MED-01"", ""S009-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.1593574741776465,0.0,6.1593574741776465,2204.262638486273
