primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
714,1147.0909217125943,1148.1484828896732,return_cruise,False,True,-5.2785536507823565,"[11178026.478870727, 2565502.1574047576, 372.9093322753906]","[11178030.10354471, 2565486.7136436137, 372.9093322753906]"
715,1148.1484828896732,1149.2060440667522,return_cruise,False,True,-5.259575243833552,"[11178030.10354471, 2565486.7136436137, 372.9093322753906]","[11178033.728218693, 2565471.2698824704, 372.9093322753906]"
716,1149.2060440667522,1150.2636052438445,return_cruise,False,True,-5.240555319059226,"[11178033.728218693, 2565471.2698824704, 372.9093322753906]","[11178037.352892675, 2565455.8261213265, 372.9093322753906]"
717,1150.2636052438445,1151.3211664209368,return_cruise,False,True,-5.221493694586314,"[11178037.352892675, 2565455.8261213265, 372.9093322753906]","[11178040.977566658, 2565440.382360183, 372.9093322753906]"
718,1151.3211664209368,1152.3787275980292,return_cruise,False,True,-5.202390187345927,"[11178040.977566658, 2565440.382360183, 372.9093322753906]","[11178044.602240639, 2565424.9385990393, 372.9093322753906]"
719,1152.3787275980292,1153.4362887751215,return_cruise,False,True,-5.183244613062016,"[11178044.602240639, 2565424.9385990393, 372.9093322753906]","[11178048.226914624, 2565409.494837896, 372.9093322753906]"
720,1153.4362887751215,1153.5466471829043,return_cruise,False,True,-5.164056786240508,"[11178048.226914624, 2565409.494837896, 372.9093322753906]","[11178048.605155863, 2565407.88325369, 372.9093322753906]"
721,1153.5466471829043,1153.657005590687,return_cruise,False,True,-5.162052059907936,"[11178048.605155863, 2565407.88325369, 372.9093322753906]","[11178048.9833971, 2565406.2716694837, 372.9093322753906]"
722,1153.657005590687,1154.604208359983,return_cruise,False,True,-5.160046871230321,"[11178048.9833971, 2565406.2716694837, 372.9093322753906]","[11178052.229829844, 2565392.4394925465, 372.9093322753906]"
723,1154.604208359983,1155.551411129279,return_cruise,False,True,-5.142817354406446,"[11178052.229829844, 2565392.4394925465, 372.9093322753906]","[11178055.476262588, 2565378.607315609, 372.9093322753906]"
724,1155.551411129279,1156.6089723063712,return_cruise,False,True,-5.125553626860508,"[11178055.476262588, 2565378.607315609, 372.9093322753906]","[11178059.100936571, 2565363.163554466, 372.9093322753906]"
725,1156.6089723063712,1157.6665334834636,return_cruise,False,True,-5.106237917128283,"[11178059.100936571, 2565363.163554466, 372.9093322753906]","[11178062.725610552, 2565347.719793322, 372.9093322753906]"
726,1157.6665334834636,1158.724094660556,return_cruise,False,True,-5.0868792004914525,"[11178062.725610552, 2565347.719793322, 372.9093322753906]","[11178066.350284535, 2565332.276032178, 372.9093322753906]"
727,1158.724094660556,1159.7816558376483,return_cruise,False,True,-5.06747728520422,"[11178066.350284535, 2565332.276032178, 372.9093322753906]","[11178069.974958519, 2565316.832271035, 372.9093322753906]"
728,1159.7816558376483,1160.8392170147272,return_cruise,False,True,-5.048031978238441,"[11178069.974958519, 2565316.832271035, 372.9093322753906]","[11178073.599632503, 2565301.3885098915, 372.9093322753906]"
729,1160.8392170147272,1161.896778191806,return_cruise,False,True,-5.028543085268495,"[11178073.599632503, 2565301.3885098915, 372.9093322753906]","[11178077.224306483, 2565285.944748748, 372.9093322753906]"
730,1161.896778191806,1161.9244103086814,return_cruise,False,True,-5.009010410664885,"[11178077.224306483, 2565285.944748748, 372.9093322753906]","[11178077.31901251, 2565285.541231843, 372.9093322753906]"
731,1161.9244103086814,1161.9520424255568,return_cruise,False,True,-5.008499469324704,"[11178077.31901251, 2565285.541231843, 372.9093322753906]","[11178077.413718533, 2565285.1377149383, 372.9093322753906]"
732,1161.9520424255568,1162.9819714857872,return_cruise,False,True,-5.00798849795882,"[11178077.413718533, 2565285.1377149383, 372.9093322753906]","[11178080.943686493, 2565270.0974706993, 372.9093322753906]"
733,1162.9819714857872,1164.0119005460176,return_cruise,False,True,-4.9889216644027385,"[11178080.943686493, 2565270.0974706993, 372.9093322753906]","[11178084.473654449, 2565255.0572264604, 372.9093322753906]"
734,1164.0119005460176,1165.0694617230965,return_cruise,False,True,-4.969812927417209,"[11178084.473654449, 2565255.0572264604, 372.9093322753906]","[11178088.098328432, 2565239.613465317, 372.9093322753906]"
735,1165.0694617230965,1166.1270229001755,return_cruise,False,True,-4.9501477208710725,"[11178088.098328432, 2565239.613465317, 372.9093322753906]","[11178091.723002417, 2565224.1697041737, 372.9093322753906]"
736,1166.1270229001755,1167.1845840772544,return_cruise,False,True,-4.930437936856578,"[11178091.723002417, 2565224.1697041737, 372.9093322753906]","[11178095.347676398, 2565208.7259430303, 372.9093322753906]"
737,1167.1845840772544,1168.2421452543333,return_cruise,False,True,-4.910683373030224,"[11178095.347676398, 2565208.7259430303, 372.9093322753906]","[11178098.972350378, 2565193.2821818865, 372.9093322753906]"
738,1168.2421452543333,1169.2446122569556,return_cruise,False,True,-4.890883825666435,"[11178098.972350378, 2565193.2821818865, 372.9093322753906]","[11178102.408195172, 2565178.642971146, 372.9093322753906]"
739,1169.2446122569556,1170.247079259578,return_cruise,False,True,-4.872074030069371,"[11178102.408195172, 2565178.642971146, 372.9093322753906]","[11178105.844039964, 2565164.003760405, 372.9093322753906]"
740,1170.247079259578,1170.3021734340614,return_cruise,False,True,-4.8532234555750335,"[11178105.844039964, 2565164.003760405, 372.9093322753906]","[11178106.032869155, 2565163.1992100016, 372.9093322753906]"
741,1170.3021734340614,1170.3572676085448,return_cruise,False,True,-4.852186268881169,"[11178106.032869155, 2565163.1992100016, 372.9093322753906]","[11178106.221698346, 2565162.3946595993, 372.9093322753906]"
742,1170.3572676085448,1171.4148287856237,return_cruise,False,True,-4.851148958454118,"[11178106.221698346, 2565162.3946595993, 372.9093322753906]","[11178109.846372329, 2565146.950898456, 372.9093322753906]"
743,1171.4148287856237,1172.4723899627027,return_cruise,False,True,-4.831213224147547,"[11178109.846372329, 2565146.950898456, 372.9093322753906]","[11178113.47104631, 2565131.5071373126, 372.9093322753906]"
744,1172.4723899627027,1173.529951139795,return_cruise,False,True,-4.81123167735899,"[11178113.47104631, 2565131.5071373126, 372.9093322753906]","[11178117.095720295, 2565116.0633761687, 372.9093322753906]"
745,1173.529951139795,1174.5875123168873,return_cruise,False,True,-4.7912041072736145,"[11178117.095720295, 2565116.0633761687, 372.9093322753906]","[11178120.720394274, 2565100.6196150254, 372.9093322753906]"
