sortie,interval,time_start,time_end,transport_endpoint_source,relay_endpoint_source,gateway_endpoint_source,same_time_axis,pass
Q2-003,460,19837.25528788808,19838.3690073852,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,461,19838.3690073852,19838.982416622122,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,462,19838.982416622122,19839.595825859044,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,463,19839.595825859044,19840.096136119242,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,464,19840.096136119242,19840.59644637944,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,465,19840.59644637944,19841.710165876546,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,466,19841.710165876546,19842.82388537365,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,467,19842.82388537365,19843.695305771438,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,468,19843.695305771438,19844.566726169225,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,469,19844.566726169225,19844.809025268572,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,470,19844.809025268572,19845.05132436792,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,471,19845.05132436792,19846.165043865025,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,472,19846.165043865025,19847.27876336213,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,473,19847.27876336213,19848.392482859235,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,474,19848.392482859235,19849.50620235634,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,475,19849.50620235634,19849.521914417746,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,476,19849.521914417746,19849.537626479152,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,477,19849.537626479152,19850.635633914884,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,478,19850.635633914884,19851.733641350616,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,479,19851.733641350616,19852.84736084772,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
