primitive_index,start,end,phase,direct_available,relay_required,direct_margin
610,1179.3185062756365,1179.971587410946,cruise,False,True,-5.687540796110568
611,1179.971587410946,1180.6246685462554,cruise,False,True,-5.6986553933149935
612,1180.6246685462554,1181.665279709141,cruise,False,True,-5.716336193350514
613,1181.665279709141,1182.7058908720269,cruise,False,True,-5.733981411849413
614,1182.7058908720269,1183.7465020348861,cruise,False,True,-5.751591190363868
615,1183.7465020348861,1184.7871131977454,cruise,False,True,-5.769165669614438
616,1184.7871131977454,1185.827724360618,cruise,False,True,-5.7867049894941545
617,1185.827724360618,1186.8683355234905,cruise,False,True,-5.804209289069178
618,1186.8683355234905,1187.908946686363,cruise,False,True,-5.821678706596941
619,1187.908946686363,1188.9495578492356,cruise,False,True,-5.839113379522317
620,1188.9495578492356,1189.9901690120946,cruise,False,True,-5.856513444485728
621,1189.9901690120946,1191.0307801749539,cruise,False,True,-5.87387903733557
622,1191.0307801749539,1191.7005000784075,cruise,False,True,-5.885037072814811
623,1191.7005000784075,1192.3702199818608,cruise,False,True,-5.8961809217518635
624,1192.3702199818608,1192.74111124128,cruise,False,True,-5.9023463009132655
625,1192.74111124128,1193.112002500699,cruise,False,True,-5.908507346128786
626,1193.112002500699,1194.1526136635714,cruise,False,True,-5.925770329834393
627,1194.1526136635714,1195.1932248264438,cruise,False,True,-5.942999376963797
628,1195.1932248264438,1196.233835989303,cruise,False,True,-5.960194619470684
629,1196.233835989303,1197.2744471521623,cruise,False,True,-5.977356188546906
630,1197.2744471521623,1198.3150583150482,cruise,False,True,-5.994484214629907
631,1198.3150583150482,1199.355669477934,cruise,False,True,-6.011578827407675
632,1199.355669477934,1200.396280640793,cruise,False,True,-6.028640155823723
633,1200.396280640793,1201.4368918036523,cruise,False,True,-6.045668328086833
634,1201.4368918036523,1202.4775029665116,cruise,False,True,-6.062663471669083
635,1202.4775029665116,1203.5181141293708,cruise,False,True,-6.079625713317455
636,1203.5181141293708,1204.4700239080603,cruise,False,True,-6.095113391173811
637,1204.4700239080603,1205.42193368675,cruise,False,True,-6.110573738546151
638,1205.42193368675,1205.5106350709461,cruise,False,True,-6.11201298457604
639,1205.5106350709461,1205.5993364551423,cruise,False,True,-6.113451994201284
640,1205.5993364551423,1206.6399476180018,cruise,False,True,-6.130316283344939
641,1206.6399476180018,1207.6805587808608,cruise,False,True,-6.147148170381115
642,1207.6805587808608,1208.7211699437335,cruise,False,True,-6.163947778505843
643,1208.7211699437335,1209.761781106606,cruise,False,True,-6.18071523021564
644,1209.761781106606,1210.8023922694783,cruise,False,True,-6.197450647319158
645,1210.8023922694783,1211.843003432351,cruise,False,True,-6.2141541509413685
646,1211.843003432351,1212.6137633084602,cruise,False,True,-6.226505600145799
647,1212.6137633084602,1213.3845231845694,cruise,False,True,-6.238839656188503
648,1213.3845231845694,1284.3927751376943,descent,False,True,-6.238839656188503
649,1284.3927751376943,1464.3927751376943,handoff,False,True,-6.235199321406412
650,1464.3927751376943,1505.1965080478506,climb,False,True,-6.237545166061125
651,1505.1965080478506,1505.9798009136764,cruise,False,True,-6.237545166061125
652,1505.9798009136764,1506.7630937795025,cruise,False,True,-6.224961053733892
653,1506.7630937795025,1507.8206258660084,cruise,False,True,-6.212358697237988
654,1507.8206258660084,1508.8781579525144,cruise,False,True,-6.1953150834064274
655,1508.8781579525144,1509.5675814342087,cruise,False,True,-6.17823798666484
656,1509.5675814342087,1510.257004915903,cruise,False,True,-6.167087039794296
657,1510.257004915903,1510.6251135207146,cruise,False,True,-6.155921770181976
658,1510.6251135207146,1510.9932221255262,cruise,False,True,-6.149954343180752
659,1510.9932221255262,1512.0507542120188,cruise,False,True,-6.1439828168169015
660,1512.0507542120188,1513.1082862985113,cruise,False,True,-6.126804477945598
661,1513.1082862985113,1514.1658183850307,cruise,False,True,-6.109592124619212
662,1514.1658183850307,1515.2233504715502,cruise,False,True,-6.092345621974118
663,1515.2233504715502,1516.2808825580428,cruise,False,True,-6.075064834346051
664,1516.2808825580428,1517.338414644535,cruise,False,True,-6.057749625261408
665,1517.338414644535,1517.945114110456,cruise,False,True,-6.040399857427815
666,1517.945114110456,1518.5518135763766,cruise,False,True,-6.0304307518282485
667,1518.5518135763766,1519.0026461969485,cruise,False,True,-6.020450200459436
668,1519.0026461969485,1519.4534788175201,cruise,False,True,-6.013026319099765
669,1519.4534788175201,1520.5110109040395,cruise,False,True,-6.005596092238079
670,1520.5110109040395,1521.568542990559,cruise,False,True,-5.988141816161587
671,1521.568542990559,1522.6260750770516,cruise,False,True,-5.970652423885767
672,1522.6260750770516,1523.683607163544,cruise,False,True,-5.953127773943066
