primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
14,820700302,0.0,1.0,170.17640232484473,170.17640232484473,170.17640232484473,130.80474853515625,39.37165378968848,True,False
14,822064203,0.0,1.0,170.0054283017842,170.0054283017842,170.0054283017842,130.80474853515625,39.20067976662796,True,False
14,911032102,0.0,1.0,158.8527141508921,158.8527141508921,158.8527141508921,128.7255401611328,30.127173989759285,True,False
15,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,145.23208618164062,127.82452392578125,True,False
15,102758025,0.0,1.0,260.1752123815524,260.1752123815524,260.1752123815524,144.3026123046875,115.8726000768649,True,False
15,205516051,0.0,1.0,247.29381465568295,247.29381465568295,247.29381465568295,144.3026123046875,102.99120235099545,True,False
15,304230873,0.0,1.0,234.91925912885256,234.91925912885256,234.91925912885256,140.24159240722656,94.677666721626,True,False
15,402945696,0.0,1.0,222.54470360202214,222.54470360202214,222.54470360202214,140.24159240722656,82.30311119479558,True,False
15,406988899,0.0,1.0,222.03786140331258,222.03786140331258,222.03786140331258,135.11814880371094,86.91971259960164,True,False
15,411032102,0.0,1.0,221.53101920460304,221.53101920460304,221.53101920460304,135.11814880371094,86.4128704008921,True,False
15,513790127,0.0,1.0,208.64962147889833,208.64962147889833,208.64962147889833,133.5413055419922,75.10831593690614,True,False
15,616548152,0.0,1.0,195.7682237531936,195.7682237531936,195.7682237531936,133.5413055419922,62.22691821120142,True,False
15,717942277,0.0,1.0,183.05780005054942,183.05780005054942,183.05780005054942,132.31642150878906,50.741378541760355,True,False
15,819336401,0.0,1.0,170.34737634790525,170.34737634790525,170.34737634790525,132.31642150878906,38.03095483911619,True,False
15,820700302,0.0,1.0,170.17640232484473,170.17640232484473,170.17640232484473,130.80474853515625,39.37165378968848,True,False
15,822064203,0.0,1.0,170.0054283017842,170.0054283017842,170.0054283017842,130.80474853515625,39.20067976662796,True,False
15,911032102,0.0,1.0,158.8527141508921,158.8527141508921,158.8527141508921,128.7255401611328,30.127173989759285,True,False
15,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
15,3338807,0.0,1.0,272.6380685673989,272.6380685673989,272.6380685673989,145.23208618164062,127.40598238575825,True,False
15,6677614,0.0,1.0,272.2195270273759,272.2195270273759,272.2195270273759,145.23208618164062,126.98744084573525,True,False
